Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.34,  6.78, 95.79,  286.01,  0.68,  1.49
 1377.77,  7.98, 95.32,  286.26,  0.68,  1.66
 1387.54,  8.36, 94.47,  286.73,  0.66,  2.01
 1398.85,  8.36, 92.48,  287.04,  0.64,  2.20
 1411.89,  8.08, 88.69,  287.29,  0.66,  2.30
 1426.88,  7.85, 84.93,  287.43,  0.70,  2.29
 1444.06,  7.71, 82.60,  287.50,  0.75,  2.19
 1463.70,  7.61, 81.86,  287.53,  0.81,  2.04
 1486.07,  7.51, 82.49,  287.55,  0.85,  1.82
 1511.50,  7.42, 85.82,  287.64,  0.89,  1.68
 1540.35,  7.70, 90.24,  288.17,  0.81,  1.89
 1573.01,  8.54, 93.79,  288.97,  0.51,  2.35
 1609.92,  9.79, 96.15,  289.70,  0.13,  2.67
 1651.48, 11.15, 98.22,  290.29, -0.26,  2.84
 1698.14, 12.30,100.67,  290.78, -0.58,  2.85
 1750.37, 13.00,103.86,  291.21, -0.79,  2.75
 1808.67, 13.29,108.37,  291.62, -0.89,  2.56
 1873.59, 13.41,114.52,  292.05, -0.96,  2.34
 1945.69, 13.55,121.75,  292.54, -1.11,  2.10
 2025.59, 13.81,128.98,  293.08, -1.40,  1.82
 2113.89, 14.11,135.25,  293.63, -1.90,  1.49
 2211.25, 14.31,139.97,  294.20, -2.67,  1.06
 2318.34, 14.30,143.00,  294.74, -3.74,  0.53
 2435.86, 13.91,144.71,  295.27, -5.11, -0.12
 2564.53, 12.91,146.15,  295.82, -6.84, -0.87
 2705.16, 11.01,148.67,  296.45, -9.02, -1.67
 2858.67,  8.20,153.81,  297.24,-11.78, -2.44
 3026.05,  5.00,165.10,  298.15,-15.08, -3.24
 3208.39,  2.50,196.99,  299.08,-18.72, -4.18
 3406.86,  2.40,253.32,  299.98,-22.46, -5.31
 3622.78,  3.95,269.08,  300.91,-26.11, -6.59
 3857.74,  6.29,265.87,  301.94,-29.57, -7.97
 4113.60,  9.40,260.46,  303.12,-32.79, -9.43
 4392.59, 12.77,256.20,  304.45,-35.77,-11.00
 4697.33, 15.74,252.98,  305.90,-38.64,-12.72
 5030.94, 18.05,250.64,  307.42,-41.70,-14.69
 5397.10, 19.88,249.52,  308.89,-45.14,-17.03
 5800.19, 21.59,249.94,  310.19,-48.95,-19.88
 6245.51, 23.44,251.59,  311.28,-52.82,-23.34
 6739.75, 25.38,253.24,  312.19,-56.19,-27.42
 7291.70, 27.27,253.25,  313.15,-58.53,-32.03
 7913.43, 29.73,250.94,  314.51,-59.96,-37.03
 8621.95, 34.50,248.09,  316.58,-61.29,-42.37
 9441.60, 42.85,247.96,  319.55,-63.29,-48.18
10408.80, 54.22,251.04,  323.74,-66.41,-54.62
11581.50, 66.15,254.90,  330.36,-70.88,-61.54
13041.45, 75.70,257.76,  342.34,-76.73,-68.05
14962.03, 83.89,259.80,  366.39,-80.45,-72.35
17867.39,104.66,262.57,  416.64,-80.45,-72.95
24834.44,127.34,257.02,  525.87,-80.45,-77.02
